"Country";"MORc";"RCA";"RCA_step0";"RCA_step1";"RCA_step2";"Period";"Category"
"CN";"92,5319589805413";"92,5319589805413";"15";"58,6";"12,0683952784146";"Period 1 (1974-1988)";"Overall Complexity"
"JP";"57,2502920742626";"57,2502920742626";"16";"21,6875";"11,3341694936036";"Period 1 (1974-1988)";"Overall Complexity"
"KR";"77,7445505737008";"77,7445505737008";"14";"39,6428571428571";"12,3072095841961";"Period 1 (1974-1988)";"Overall Complexity"
"US";"95,5393956308883";"95,5393956308883";"18";"58,9444444444444";"12,6984464662644";"Period 1 (1974-1988)";"Overall Complexity"
"CN";"86.3707729236952";"86.3707729236952";"14";"82.9285714285714";"12.8214339631877";"Period 2 (1989-2003)";"Overall Complexity"
"JP";"67.3956271012588";"67.3956271012588";"17";"46.1176470588235";"12.12203984351";"Period 2 (1989-2003)";"Overall Complexity"
"KR";"58.1687360231112";"58.1687360231112";"15";"53.7333333333333";"12.3163199127053";"Period 2 (1989-2003)";"Overall Complexity"
"US";"68.1116003748184";"68.1116003748184";"16";"67.625";"12.5677419220189";"Period 2 (1989-2003)";"Overall Complexity"
"CN";"73.8665546671997";"73.8665546671997";"18";"71.8888888888889";"12.410024557838";"Period 3 (2004-2018)";"Overall Complexity"
"JP";"57.9918094419074";"57.9918094419074";"15";"59.6666666666667";"12.1250032108335";"Period 3 (2004-2018)";"Overall Complexity"
"KR";"44.6117880173056";"44.6117880173056";"11";"65.0909090909091";"11.6640868523329";"Period 3 (2004-2018)";"Overall Complexity"
"US";"47.6562330394602";"47.6562330394602";"16";"86.125";"11.7732695393254";"Period 3 (2004-2018)";"Overall Complexity"
"CN";"0";"0";"1";"74";"1,54054054054054";"Period 1 (1974-1988)";"AI-core codes"
"JP";"100";"100";"2";"10,5";"1,82352941176471";"Period 1 (1974-1988)";"AI-core codes"
"KR";"50,5263491915947";"50,5263491915947";"2";"34,5";"1,69852941176471";"Period 1 (1974-1988)";"AI-core codes"
"US";"1,59290068365741";"1,59290068365741";"2";"63";"1,64527027027027";"Period 1 (1974-1988)";"AI-core codes"
"CN";"38.9879833813095";"38.9879833813095";"2";"75";"1.66191325014854";"Period 2 (1989-2003)";"AI-core codes"
"JP";"89.0457921278486";"89.0457921278486";"2";"55";"2.03106725146199";"Period 2 (1989-2003)";"AI-core codes"
"KR";"39.0457921278486";"39.0457921278486";"2";"44.5";"1.88931888544892";"Period 2 (1989-2003)";"AI-core codes"
"US";"39.0457921278486";"39.0457921278486";"2";"44.5";"1.88931888544892";"Period 2 (1989-2003)";"AI-core codes"
"CN";"76.5451443703231";"76.5451443703231";"2";"77.5";"2.05270127118644";"Period 3 (2004-2018)";"AI-core codes"
"JP";"26.5451443703231";"26.5451443703231";"2";"110";"1.96925403225806";"Period 3 (2004-2018)";"AI-core codes"
"KR";"12.9840796312776";"12.9840796312776";"2";"122.5";"1.92005465209278";"Period 3 (2004-2018)";"AI-core codes"
"US";"12.9840796312776";"12.9840796312776";"2";"122.5";"1.92005465209278";"Period 3 (2004-2018)";"AI-core codes"
"CN";"0";"0";"1";"64";"1,328125";"Period 1 (1974-1988)";"AI-related codes"
"JP";"68,6857635503227";"68,6857635503227";"2";"19";"1,73232323232323";"Period 1 (1974-1988)";"AI-related codes"
"KR";"68,6857635503227";"68,6857635503227";"2";"19";"1,73232323232323";"Period 1 (1974-1988)";"AI-related codes"
"US";"0";"0";"1";"64";"1,328125";"Period 1 (1974-1988)";"AI-related codes"
"CN";"33.395903760911";"33.395903760911";"2";"65.5";"1.38388746803069";"Period 2 (1989-2003)";"AI-related codes"
"JP";"100";"100";"1";"30";"1.66666666666667";"Period 2 (1989-2003)";"AI-related codes"
"KR";"0";"0";"1";"46";"1.39130434782609";"Period 2 (1989-2003)";"AI-related codes"
"US";"33.395903760911";"33.395903760911";"2";"65.5";"1.38388746803069";"Period 2 (1989-2003)";"AI-related codes"
"CN";"0";"0";"1";"85";"1.24705882352941";"Period 3 (2004-2018)";"AI-related codes"
"JP";"85.4906189264574";"85.4906189264574";"1";"63";"1.79365079365079";"Period 3 (2004-2018)";"AI-related codes"
"KR";"0";"0";"1";"85";"1.24705882352941";"Period 3 (2004-2018)";"AI-related codes"
"US";"42.7453094632287";"42.7453094632287";"2";"74";"1.5203548085901";"Period 3 (2004-2018)";"AI-related codes"
"CN";"64,7298358103471";"64,7298358103471";"3";"65";"2,73976476476476";"Period 1 (1974-1988)";"Surrounding codes"
"JP";"56,6341693771853";"56,6341693771853";"4";"18,75";"3,16834150326797";"Period 1 (1974-1988)";"Surrounding codes"
"KR";"81,2052578068564";"81,2052578068564";"4";"29";"3,2843137254902";"Period 1 (1974-1988)";"Surrounding codes"
"US";"97,9719763831438";"97,9719763831438";"3";"74";"2,94138168018765";"Period 1 (1974-1988)";"Surrounding codes"
"CN";"70.0893923140167";"70.0893923140167";"4";"75.5";"3.08934285573181";"Period 2 (1989-2003)";"Surrounding codes"
"JP";"17.0448343914259";"17.0448343914259";"3";"58";"2.82276608834748";"Period 2 (1989-2003)";"Surrounding codes"
"KR";"58.1879297407149";"58.1879297407149";"4";"48.75";"3.05669134058029";"Period 2 (1989-2003)";"Surrounding codes"
"US";"80.1932846525219";"80.1932846525219";"3";"68";"3.11232108655397";"Period 2 (1989-2003)";"Surrounding codes"
"CN";"63.7465668631753";"63.7465668631753";"4";"78.5";"2.83613046148331";"Period 3 (2004-2018)";"Surrounding codes"
"JP";"75.1722218005399";"75.1722218005399";"4";"64.25";"2.88562751454003";"Period 3 (2004-2018)";"Surrounding codes"
"KR";"51.021699829419";"51.021699829419";"4";"73.75";"2.93913931057964";"Period 3 (2004-2018)";"Surrounding codes"
"US";"28.473551224703";"28.473551224703";"3";"99.6666666666667";"2.77106580529686";"Period 3 (2004-2018)";"Surrounding codes"
