"";"MORc(Surrounding_1st, RCA = F)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"AD";24,7476923126898;24,7476923126898;3;225610;1343650,02010549
"AG";74,4662621208787;74,4662621208787;1;958540;1719837,41907902
"AM";74,4662621208787;74,4662621208787;1;958540;1719837,41907902
"AR";42,331733016162;42,331733016162;115;435799,191304348;1480388,91880848
"AT";54,4570182501409;54,4570182501409;4299;572572,851826006;1572762,19820494
"AU";44,1477043574965;44,1477043574965;13158;486076,736890105;1494381,41204075
"BA";66,4046514778562;66,4046514778562;3;636456,333333333;1665138,63745386
"BB";87,2331310604393;87,2331310604393;2;841879,5;1825882,94612804
"BE";53,9419774911691;53,9419774911691;2591;511475,555384022;1568984,01695814
"BG";57,3335394620237;57,3335394620237;8751;639951,611015884;1594206,72257958
"BI";74,4662621208787;74,4662621208787;1;958540;1719837,41907902
"BM";52,6002739426702;52,6002739426702;15;558394,266666667;1557685,8654215
"BO";74,4662621208787;74,4662621208787;3;958540;1719837,41907902
"BR";47,3428656785097;47,3428656785097;10152;490650,554669031;1518389,06961955
"BS";46,7576631457912;46,7576631457912;21;542858,666666667;1512629,94705764
"BU";37,8482716979908;37,8482716979908;9;342990,222222222;1444447,52868049
"CA";53,303977286321;53,303977286321;28232;531720,34354633;1564129,26406887
"CC";24,7476923126898;24,7476923126898;1;225610;1343650,02010549
"CH";46,6366366408364;46,6366366408364;16561;519941,253426725;1512966,38341487
"CL";57,0556491040451;57,0556491040451;8;428141,875;1593915,21538986
"CM";32,4131513424045;32,4131513424045;2;426980;1407696,102602
"CN";50,153617705669;50,153617705669;5102;565139,402195218;1538521,39029179
"CO";32,545046524988;32,545046524988;67;453929,895522388;1405227,98769243
"CR";16,3817071935568;16,3817071935568;10;266764,8;1280869,95671037
"CS";44,807054975679;44,807054975679;208;578007,197115385;1496983,53267431
"CU";0;0;6;227812;1154676,82036943
"CY";32,8080514236755;32,8080514236755;5;453184,4;1406711,29295159
"CZ";26,84534815103;26,84534815103;98;428087,346938776;1359900,1381479
"DD";41,3260168824501;41,3260168824501;580;525922,687931034;1470908,31765367
"DE";55,3928258861121;55,3928258861121;213438;576650,200803044;1579863,48317006
"DK";41,7839062229733;41,7839062229733;4511;498359,428951452;1476069,41088188
"DO";16,3817071935568;16,3817071935568;5;266764,8;1280869,95671037
"DZ";37,2331310604393;37,2331310604393;2;593176;1437257,11972422
"EC";41,3758826926566;41,3758826926566;5;513272,6;1473763,12711939
"EG";24,3625365549986;24,3625365549986;7;262074,857142857;1342081,76192401
"ES";49,1130546991622;49,1130546991622;1116;487534,47311828;1532341,74528408
"FI";39,4045788196317;39,4045788196317;5775;487118,647099567;1457884,00577979
"FR";55,2281605164498;55,2281605164498;30872;557313,791915004;1578754,35960321
"GA";27,3028453225947;27,3028453225947;3;292733,333333333;1364998,71427099
"GB";53,0267600323978;53,0267600323978;26130;520951,087026406;1562567,16143594
"GC";74,4662621208787;74,4662621208787;1;958540;1719837,41907902
"GL";55,0082851275925;55,0082851275925;2;286671;1577122,06795797
"GR";34,8429735733794;34,8429735733794;191;398449,87434555;1422529,87886862
"GT";31,4321687310189;31,4321687310189;5;366686,6;1398525,64732468
"HK";59,1594822416767;59,1594822416767;406;661833,773399015;1606678,84490663
"HN";0;0;1;227812;1154676,82036943
"HT";24,7476923126898;24,7476923126898;2;225610;1343650,02010549
"HU";55,8600349157683;55,8600349157683;12403;578034,42586471;1583251,25318482
"ID";55,4993484070785;55,4993484070785;8;410207,875;1580944,27553737
"IE";51,3536710352587;51,3536710352587;244;524262,991803279;1549293,34608112
"IL";40,2689249257143;40,2689249257143;1050;414415,06952381;1464092,69689325
"IN";51,514057860105;51,514057860105;3376;595933,976303318;1549176,86311326
"IQ";10,8043837808015;10,8043837808015;3;294201,333333333;1239016,58111362
"IR";59,9217687046864;59,9217687046864;11;510820,454545455;1616165,46266181
"IS";37,7463773919623;37,7463773919623;24;412245,833333333;1445323,70056911
"IT";43,3650367000301;43,3650367000301;18329;466233,625456926;1488068,0901074
"JM";29,8579983324996;29,8579983324996;3;359856,666666667;1386347,40843649
"JO";0;0;1;227812;1154676,82036943
"JP";71,7811895745653;71,7811895745653;2203962;645082,662083557;1706872,7829065
"KE";22,3934987493747;22,3934987493747;4;326845,5;1328429,76141973
"KN";0;0;2;227812;1154676,82036943
"KP";68,3360950425308;68,3360950425308;6;496135,166666667;1684117,72930276
"KR";72,039832264347;72,039832264347;6395;601483,460985145;1709179,29326278
"KW";14,2873494231904;14,2873494231904;11;290936,818181818;1265517,19625818
"KY";56,1119260035461;56,1119260035461;5;705642;1582171,67598891
"LA";32,4131513424045;32,4131513424045;1;426980;1407696,102602
"LB";27,3028453225947;27,3028453225947;3;292733,333333333;1364998,71427099
"LI";39,26962929439;39,26962929439;211;457031,085308057;1456819,7031531
"LR";0;0;1;227812;1154676,82036943
"LU";40,0797509031062;40,0797509031062;340;471108,073529412;1463614,31985458
"LY";37,2331310604393;37,2331310604393;2;593176;1437257,11972422
"MA";52,0371327948963;52,0371327948963;28;644263,285714286;1551824,85842956
"MC";31,4328579743211;31,4328579743211;56;396218,535714286;1396486,58846276
"ML";74,4662621208787;74,4662621208787;1;958540;1719837,41907902
"MN";10,8043837808015;10,8043837808015;3;294201,333333333;1239016,58111362
"MO";74,4662621208787;74,4662621208787;2;958540;1719837,41907902
"MX";40,4345796436023;40,4345796436023;610;474757,250819672;1465152,76965238
"MY";47,4969334937771;47,4969334937771;22;450855,863636364;1519314,62082398
"NG";29,8579983324996;29,8579983324996;3;359856,666666667;1386347,40843649
"NL";60,7689139879409;60,7689139879409;4658;587889,597896093;1622204,58669521
"NO";44,3585674490712;44,3585674490712;2604;509807,210445468;1495858,45626258
"NZ";40,9177559270152;40,9177559270152;2317;446093,160120846;1469687,02430283
"PA";53,6507114743434;53,6507114743434;12;453674,75;1567033,72872136
"PE";23,8692834979865;23,8692834979865;16;333248,5625;1339846,8603774
"PH";36,4485884541381;36,4485884541381;19;489320,421052632;1432774,74865214
"PK";87,2331310604393;87,2331310604393;2;841879,5;1825882,94612804
"PL";55,3243936189278;55,3243936189278;18772;616828,858352866;1578753,8418351
"PR";71,7898188993885;71,7898188993885;5;643128,2;1705169,48945021
"PT";45,8216789127855;45,8216789127855;42;494065,904761905;1508617,80081828
"PY";16,4984615417932;16,4984615417932;3;226344;1280658,9535268
"RO";50,9343382518557;50,9343382518557;8838;625562,341027382;1543808,94290259
"RU";54,7021011384008;54,7021011384008;937;707478,322305229;1571883,84717778
"SA";21,6453377440798;21,6453377440798;16;296996,5;1321983,47696619
"SC";57,7592399456425;57,7592399456425;34;500041,852941176;1600632,61523377
"SE";42,9523207494641;42,9523207494641;16975;496669,791281296;1484910,13529816
"SG";62,2122545936414;62,2122545936414;63;629815,523809524;1631981,64703807
"SM";66,2065756712022;66,2065756712022;2;576099,5;1669812,28788953
"ST";57,7533530274985;57,7533530274985;66;659498,242424242;1596588,96345353
"SU";54,7474603728905;54,7474603728905;4999;694140,189837968;1572363,17199968
"SV";41,9913914183538;41,9913914183538;11;595973,272727273;1474750,88925571
"SY";74,4662621208787;74,4662621208787;1;958540;1719837,41907902
"TD";74,4662621208787;74,4662621208787;8;958540;1719837,41907902
"TH";29,528544819768;29,528544819768;10;301316,5;1382482,764712
"TN";74,4662621208787;74,4662621208787;2;958540;1719837,41907902
"TP";100;100;1;725219;1931928,47317707
"TR";42,5874016392687;42,5874016392687;31;404450,709677419;1480489,21798883
"TT";74,4662621208787;74,4662621208787;1;958540;1719837,41907902
"TW";47,1990637527676;47,1990637527676;1378;503719,708272859;1516765,58927524
"UG";74,4662621208787;74,4662621208787;1;958540;1719837,41907902
"UK";16,4984615417932;16,4984615417932;3;226344;1280658,9535268
"US";52,8743894164844;52,8743894164844;311326;536156,130027688;1560918,6772844
"UY";21,8566725298875;21,8566725298875;9;256099,111111111;1323074,33294778
"VA";28,5804218275472;28,5804218275472;10;326295;1375673,06135374
"VE";41,389602928556;41,389602928556;40;494676,175;1471097,00833025
"VG";24,7476923126898;24,7476923126898;1;225610;1343650,02010549
"VN";74,4662621208787;74,4662621208787;3;958540;1719837,41907902
"YU";49,8661966443373;49,8661966443373;92;578486,119565217;1536067,28638017
"ZA";41,387658299257;41,387658299257;7450;497903,517986577;1472936,30752139
"ZW";28,5804218275472;28,5804218275472;2;326295;1375673,06135374
