"";"MORc(Top4_2nd, RCA = T)";"RCA";"RCA_Step0";"RCA_Step1";"RCA_Step2"
"AD";50;50;2;74,5;1,67838383838384
"AE";38,3938732348885;38,3938732348885;3;70,6666666666667;1,8994168994169
"AG";21,972540793327;21,972540793327;1;74;1,91891891891892
"AI";93,2090789113383;93,2090789113383;1;39;2,1025641025641
"AI_pat";60,9862703966635;60,9862703966635;2;62;1,79945945945946
"AL";0;0;1;99;1,67676767676768
"AM";0;0;1;99;1,67676767676768
"AN";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"AO";0;0;1;99;1,67676767676768
"AR";21,972540793327;21,972540793327;1;74;1,91891891891892
"AT";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"AU";21,972540793327;21,972540793327;1;74;1,91891891891892
"AW";21,972540793327;21,972540793327;1;74;1,91891891891892
"AZ";0;0;1;99;1,67676767676768
"BA";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"BB";71,7272065682218;71,7272065682218;3;54,3333333333333;1,90049434049434
"BD";100;100;1;50;1,68
"BE";50;50;2;74,5;1,67838383838384
"BG";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"BH";57,5908098523327;57,5908098523327;2;56,5;2,01074151074151
"BM";96,6045394556692;96,6045394556692;2;44,5;1,89128205128205
"BN";21,972540793327;21,972540793327;1;74;1,91891891891892
"BO";0;0;1;99;1,67676767676768
"BR";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"BS";57,5908098523327;57,5908098523327;2;56,5;2,01074151074151
"BY";0;0;1;99;1,67676767676768
"BZ";21,972540793327;21,972540793327;1;74;1,91891891891892
"CA";96,6045394556692;96,6045394556692;2;44,5;1,89128205128205
"CH";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"CL";46,6045394556692;46,6045394556692;2;69;1,88966588966589
"CM";60,9862703966635;60,9862703966635;2;62;1,79945945945946
"CN";50;50;2;74,5;1,67838383838384
"CO";21,972540793327;21,972540793327;1;74;1,91891891891892
"CR";50;50;2;74,5;1,67838383838384
"CS";0;0;1;99;1,67676767676768
"CU";50;50;2;74,5;1,67838383838384
"CY";93,2090789113383;93,2090789113383;1;39;2,1025641025641
"CZ";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"DD";0;0;1;99;1,67676767676768
"DE";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"DK";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"DO";96,6045394556692;96,6045394556692;2;44,5;1,89128205128205
"DZ";0;0;1;99;1,67676767676768
"EC";96,6045394556692;96,6045394556692;2;44,5;1,89128205128205
"EE";0;0;1;99;1,67676767676768
"EG";50;50;2;74,5;1,67838383838384
"ES";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"FI";46,6045394556692;46,6045394556692;2;69;1,88966588966589
"FR";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"GA";21,972540793327;21,972540793327;1;74;1,91891891891892
"GB";57,5908098523327;57,5908098523327;2;56,5;2,01074151074151
"GE";0;0;1;99;1,67676767676768
"GI";0;0;1;99;1,67676767676768
"GR";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"GT";57,5908098523327;57,5908098523327;2;56,5;2,01074151074151
"GY";0;0;1;99;1,67676767676768
"HK";50;50;2;74,5;1,67838383838384
"HN";100;100;1;50;1,68
"HR";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"HU";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"ID";38,3938732348885;38,3938732348885;3;70,6666666666667;1,8994168994169
"IE";96,6045394556692;96,6045394556692;2;44,5;1,89128205128205
"IL";100;100;1;50;1,68
"IN";96,6045394556692;96,6045394556692;2;44,5;1,89128205128205
"IO";100;100;1;50;1,68
"IR";96,6045394556692;96,6045394556692;2;44,5;1,89128205128205
"IS";50;50;2;74,5;1,67838383838384
"IT";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"JA";100;100;1;50;1,68
"JE";50;50;2;74,5;1,67838383838384
"JM";71,7272065682218;71,7272065682218;3;54,3333333333333;1,90049434049434
"JO";57,5908098523327;57,5908098523327;2;56,5;2,01074151074151
"JP";57,5908098523327;57,5908098523327;2;56,5;2,01074151074151
"KE";21,972540793327;21,972540793327;1;74;1,91891891891892
"KG";0;0;1;99;1,67676767676768
"KI";0;0;1;99;1,67676767676768
"KP";0;0;1;99;1,67676767676768
"KR";96,6045394556692;96,6045394556692;2;44,5;1,89128205128205
"KW";0;0;1;99;1,67676767676768
"KY";46,6045394556692;46,6045394556692;2;69;1,88966588966589
"KZ";0;0;1;99;1,67676767676768
"LB";60,9862703966635;60,9862703966635;2;62;1,79945945945946
"LI";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"LK";96,6045394556692;96,6045394556692;2;44,5;1,89128205128205
"LT";0;0;1;99;1,67676767676768
"LU";0;0;1;99;1,67676767676768
"LV";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"LY";0;0;1;99;1,67676767676768
"MA";96,6045394556692;96,6045394556692;2;44,5;1,89128205128205
"MC";38,3938732348885;38,3938732348885;3;70,6666666666667;1,8994168994169
"MD";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"ME";100;100;1;50;1,68
"MG";100;100;1;50;1,68
"MH";0;0;1;99;1,67676767676768
"MK";0;0;1;99;1,67676767676768
"ML";100;100;1;50;1,68
"MN";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"MO";96,6045394556692;96,6045394556692;2;44,5;1,89128205128205
"MP";0;0;1;99;1,67676767676768
"MT";38,3938732348885;38,3938732348885;3;70,6666666666667;1,8994168994169
"MU";0;0;1;99;1,67676767676768
"MX";38,3938732348885;38,3938732348885;3;70,6666666666667;1,8994168994169
"MY";50;50;2;74,5;1,67838383838384
"NC";0;0;1;99;1,67676767676768
"NI";0;0;1;99;1,67676767676768
"NL";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"NO";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"NP";100;100;1;50;1,68
"NR";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"NZ";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"OA";100;100;1;50;1,68
"OM";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"PA";46,6045394556692;46,6045394556692;2;69;1,88966588966589
"PE";57,5908098523327;57,5908098523327;2;56,5;2,01074151074151
"PG";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"PH";93,2090789113383;93,2090789113383;1;39;2,1025641025641
"PK";60,9862703966635;60,9862703966635;2;62;1,79945945945946
"PL";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"PR";21,972540793327;21,972540793327;1;74;1,91891891891892
"PT";38,3938732348885;38,3938732348885;3;70,6666666666667;1,8994168994169
"PW";0;0;1;99;1,67676767676768
"QA";93,2090789113383;93,2090789113383;1;39;2,1025641025641
"RE";100;100;1;50;1,68
"RO";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"RS";0;0;1;99;1,67676767676768
"RU";0;0;1;99;1,67676767676768
"RW";0;0;1;99;1,67676767676768
"SA";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"SE";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"SG";100;100;1;50;1,68
"SI";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"SK";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"SL";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"SM";60,9862703966635;60,9862703966635;2;62;1,79945945945946
"SN";100;100;1;50;1,68
"ST";0;0;1;99;1,67676767676768
"SU";0;0;1;99;1,67676767676768
"SV";21,972540793327;21,972540793327;1;74;1,91891891891892
"SY";60,9862703966635;60,9862703966635;2;62;1,79945945945946
"SZ";100;100;1;50;1,68
"TC";46,6045394556692;46,6045394556692;2;69;1,88966588966589
"TG";0;0;1;99;1,67676767676768
"TH";38,3938732348885;38,3938732348885;3;70,6666666666667;1,8994168994169
"TJ";0;0;1;99;1,67676767676768
"TK";100;100;1;50;1,68
"TM";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"TN";21,972540793327;21,972540793327;1;74;1,91891891891892
"TR";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"TW";100;100;1;50;1,68
"UA";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"UG";0;0;1;99;1,67676767676768
"US";96,6045394556692;96,6045394556692;2;44,5;1,89128205128205
"UY";93,2090789113383;93,2090789113383;1;39;2,1025641025641
"UZ";0;0;1;99;1,67676767676768
"VA";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"VE";50;50;2;74,5;1,67838383838384
"VG";96,6045394556692;96,6045394556692;2;44,5;1,89128205128205
"VN";0;0;1;99;1,67676767676768
"VU";100;100;1;50;1,68
"WO";21,972540793327;21,972540793327;1;74;1,91891891891892
"YE";100;100;1;50;1,68
"YU";10,9862703966635;10,9862703966635;2;86,5;1,7978432978433
"ZA";21,972540793327;21,972540793327;1;74;1,91891891891892
"ZM";0;0;1;99;1,67676767676768
"ZW";21,972540793327;21,972540793327;1;74;1,91891891891892
