"nace2_code";"nace2_descr";"RCA_US";"RCA_CN";"RCA_KR";"RCA_JP";"RCA_AI";"US_Com";"CN_Com";"KR_Com";"JP_Com"
"10";"Manufacture of Food Products";0,88565148634256;2,8349149042146;3,58406436078972;1,01454806569673;0;41;36;24;0
"10.5";"Manufacture of Dairy Products";1,12786461223756;0;0;0,115259606353505;0;43;0;0;0
"11";"Manufacture of Beverages";0,703413044489157;11,6569946442472;6,06876533613185;0,822335894561007;0;0;41;43;0
"12";"Manufacture of Tobacco Products";2,41086210544188;4,44597396115341;3,41231709535586;0,494613468987366;0;35;39;44;0
"13";"Manufacture of Textiles";0,964394977732216;1,56741633269451;3,02359380671337;0,94223025505257;0;41;40;44;0
"14";"Manufacture of Wearing Apparel";2,42114697241419;1,57876864639508;1,03521427677888;0,530765371949391;0;41;40;43;0
"15";"Manufacture of Leather and Related Products";1,78931816966004;2,89073734777987;1,89165591761006;0,326812821444654;0;37;41;40;0
"16";"Manufacture of Wood and of Products of Wood and Cork, Except Furniture; Manufacture of Articles of Straw and Plaiting Materials";0,450340796307165;2,40193136766144;1,624969301596;1,03707593997934;0;0;39;41;41
"17";"Manufacture of Paper and Paper Products";1,23241237618994;1,39929043760121;1,65664892116883;0,721503793135918;0;36;46;43;0
"18.1";"Printing and Service Activities Related to Printing";0,594530971173782;0,499202079840511;0,902642126744056;1,28048086829097;0;0;0;0;41
"19";"Manufacture of Coke and Refined Petroleum Products";2,93523717968161;2,59637639525429;2,55593888436354;0,523488172166332;0;29;42;35;0
"20.1";"Manufacture of Basic Chemicals, Fertilisers and Nitrogen Compounds, Plastics and Synthetic Rubber in Primary Forms";1,40662541711972;1,72510706325481;1,47005791400696;0,858421015369511;0,0342988189555205;41;39;41;0
"20.2";"Manufacture of pesticides and other agrochemical products";1,38522874554361;2,3936987610809;1,11191904906687;0,713044376559833;0;42;47;41;0
"20.3";"Manufacture of Paints, Varnishes and Similar Coatings, Printing Ink and Mastics";0,914500222088862;1,83650082534899;1,00766230915396;1,10062866788077;0;0;39;0;38
"20.4";"Manufacture of Soap and Detergents, Cleaning and Polishing Preparations, Perfumes and Toilet Preparations";1,60820837407129;1,42225636341114;2,02060650748939;0,737360824641449;0;37;0;41;0
"20.42";"Manufacture of Perfumes and Toilet Preparations";1,44143387805218;0,0561007897928442;1,64718838752999;0,943002704568562;0;33;0;36;0
"20.5";"Manufacture of Other Chemical Products";1,40909274775141;2,60062231808216;1,09802826497233;0,883328688556952;0;42;41;0;0
"20.51";"Manufacture of Explosives";2,22251010292645;3,56056811166546;0,674468849346321;0,239544685912793;0;36;40;0;0
"20.6";"Manufacture of Man-Made Fibres";0,647661884958846;1,04225304504148;5,8044770904909;1,24898164878906;0;0;24;41;32
"21";"Manufacture of Basic Pharmaceutical Products and Pharmaceutical Preparations";1,74597491439226;1,03753250353668;3,1148875559932;0,639240162415116;0;41;0;42;0
"22";"Manufacture of Rubber and Plastic Products";1,02962074490106;0,540930569678601;0,61562849224293;0,980487120849966;0,306170725214648;39;0;0;41
"22.1";"Manufacture of Rubber Products";1,82411623040656;2,64394560163371;0;0,678268299379455;0;40;44;0;0
"22.2";"Manufacture of Plastics Products";0,634999081187054;0,389087238617531;0,294815000185971;1,17576830537686;0;0;0;0;37
"23";"Manufacture of Other Non-Metallic Mineral Products";0,678783641907344;0,557586372038463;0,775311072189577;1,2367007458556;0;0;0;0;35
"23.1";"Manufacture of Glass and Glass Products";1,41055129747722;2,11935776720339;1,42455055263209;0,90317288521159;0;39;40;36;0
"23.3";"Manufacture of Clay Building Materials";0,39636738761697;1,74068087371114;0,824331250766287;0,968928920299425;0;0;41;0;41
"23.42";"Manufacture of Ceramic Sanitary Fixtures";1,31959679485089;1,09065476176034;0,516499501714699;0,72939323687957;0;41;0;0;0
"23.5";"Manufacture of Cement, Lime and Plaster";0,623200269258582;2,93592211331102;1,17039225281115;1,11660173518796;0;0;44;0;40
"24";"Manufacture of Basic Metals";0,573441297206714;2,225073128068;1,44580742903097;1,1400970517536;0,226985502697419;0;35;40;36
"24.46";"Processing of Nuclear Fuel";2,17920003499071;0;0;0,643231923649921;0;47;41;0;0
"25.1";"Manufacture of Structural Metal Products";1,03596708520074;0,922209256251241;2,26553196280333;0,748958617713497;0;0;0;41;0
"25.2";"Manufacture of Tanks, Reservoirs and Containers of Metal";1,27624446493669;1,21921192225873;0,527173130530376;0,844295934730344;0;39;37;0;0
"25.3";"Manufacture of Steam Generators, Except Central Heating Hot Water Boilers";0,559111174743787;0,484996243261604;0,682474260499022;1,28729723224199;1,45881226895007;0;0;0;42
"25.4";"Manufacture of Weapons and Ammunition";2,78635775749007;1,1056977108637;0,60216687006839;0,188365402558249;0;41;36;0;0
"25.5";"Forging, Pressing, Stamping and Roll-Forming of Metal; Powder Metallurgy";0,863027079145602;1,85127903819337;1,00195089543505;1,17359722308857;0;0;38;0;41
"25.6";"Treatment and Coating of Metals; Machining";0,742662291242545;2,20438045878829;1,41434954830597;1,13475273436325;0;0;29;39;41
"25.7";"Manufacture of Cutlery, Tools and General Hardware";1,13575531361756;0,535487146273405;0,601738337296704;0,481965984848008;0;41;0;0;0
"25.9";"Manufacture of Other Fabricated Metal Products";1,43507128490507;0,515751273878146;0,508840509745785;0,468667313938498;0;43;0;0;0
"25.94";"Manufacture of Fasteners and Screw Machine Products";1,78877174950417;0,375943809109271;0,71214025514091;0,308969757785373;0;44;0;0;0
"26.1";"Manufacture of Electronic Components and Boards";0,572401006309887;0,375072782361251;1,03582959747107;1,35763387530399;0,53722469866413;0;0;0;43
"26.11";"Manufacture of Electronic Components";1,66802965641264;0;0;1,0720532060832;0;43;0;0;0
"26.2";"Manufacture of computers and peripheral equipment";0,564764123386909;0,59892810092988;0,845111619535599;1,38796131539464;18,7299437544024;0;0;0;41
"26.3";"Manufacture of Communication Equipment";0,699898203282137;0,411133224351463;1,60175592220311;1,23672731563939;0,409026415264483;0;0;24;44
"26.4";"Manufacture of Consumer Electronics";0,952499630760111;0,394066134497288;1,04505644479016;1,16388227078812;2,76577466461501;43;0;41;42
"26.5";"Manufacture of Instruments and Appliances for Measuring, Testing and Navigation; Watches and Clocks";1,0855569425654;1,19326574684689;0,447652983667883;0,994578703974043;1,53571610776946;44;41;0;0
"26.51";"Manufacture of Instruments and Appliances for Measuring, Testing and Navigation";1,00573329765822;1,18173030035212;0,580748100808902;1,06101106942466;4,89006909872744;35;39;0;42
"26.52";"Manufacture of Watches and Clocks";0,477532147480026;0,726239789297852;0,802489635017083;1,25058022496068;0;0;0;0;41
"26.6";"Manufacture of irradiation, electromedical and electrotherapeutic equipment";1,51131940598256;2,01239461237948;0,257569259234188;0,83342388314665;0;41;40;0;0
"26.7";"Manufacture of Optical Instruments and Photographic Equipment";0,777239572318582;0,585836775938963;0,296156236154112;1,20456692511823;0,126125179137378;0;0;0;42
"26.8";"Manufacture of Magnetic and Optical Media";0,664135190383819;0,716256167525439;0,373115822951027;1,30882364033251;0;0;0;0;41
"27.1";"Manufacture of Electric Motors, Generators, Transformers and Electricity Distribution and Control Apparatus";0,520683129877382;1,26510161281777;0,896063161118578;1,22798974702487;0,19302473588868;0;46;0;42
"27.12";"Manufacture of Electricity Distribution and Control Apparatus";0,628807179326219;0,848238632635111;0,417766868407953;1,15240819959218;0,595295384191339;0;0;0;41
"27.2";"Manufacture of Batteries and Accumulators";0,809163979036917;0,546461782568722;0,335464587520773;1,25585782514529;0;0;0;0;44
"27.3";"Manufacture of Wiring and Wiring Devices";0,587247195391755;0,767175069631963;0,777610405612736;1,21405155114285;0;0;0;0;44
"27.33";"Manufacture of Wiring Devices";1,31079431045957;0,484471159721192;0,432314709461041;0,844374034113233;0;42;0;0;0
"27.4";"Manufacture of Electric Lighting Equipment";1,44581072331294;0,634830667595484;0,346887309894178;0,776537533581393;0;40;0;0;0
"27.5";"Manufacture of Domestic Appliances";0,981347880452893;0,894531549818976;0,991115082627125;0,947669150900842;0,197426915543138;37;0;0;0
"27.9";"Manufacture of Other Electrical Equipment";0,78154789695653;1,0406983841801;0,766642715707805;1,08953735248723;0,202889792207852;0;0;0;34
"28.1";"Manufacture of General-Purpose Machinery";1,06728364228238;1,33330578359246;0,453826892887163;0,878534088018924;0,243687900793439;42;41;0;0
"28.11";"Manufacture of Engines and Turbines, Except Aircraft, Vehicle and Cycle Engines";1,28644825776669;0,753332796416016;0,52799668682726;0,89246471236562;0;36;0;0;0
"28.14";"Manufacture of Other Taps and Valves";1,48230910947907;0,980354764769412;0,825359860696715;0,580996209304024;0;41;0;0;0
"28.21";"Manufacture of Ovens, Furnaces and Furnace Burners";0,741815930332499;1,88027915253251;1,00916597687318;0,940282661533344;0;0;41;0;0
"28.22";"Manufacture of Lifting and Handling Equipment";0,731713572760689;0,581556465713732;0,831416441715252;0,966726979916927;0,385042561313675;0;0;0;0
"28.23";"Manufacture of Office Machinery and Equipment (Except Computers and Peripheral Equipment)";0,446575455064183;0,152653316753632;1,07515812071815;1,400088398042;0,647140966909267;0;0;0;41
"28.25";"Manufacture of Non-Domestic Cooling and Ventilation Equipment";0,614089549440943;0,45846560879346;0,401457500510273;1,09608137672456;0,303555926154924;0;0;0;37
"28.29";"Manufacture of Other General-Purpose Machinery N.E.C.";0,98558987921282;0,890209265535319;0,527798462352577;0,909917714785676;0,0614941507296649;0;0;0;0
"28.3";"Manufacture of Agricultural and Forestry Machinery";1,28563876209892;1,10947588878101;0,680871746493254;0,734626616169211;0;39;40;0;0
"28.4";"Manufacture of Metal Forming Machinery and Machine Tools";0,937039601194512;0,943891691799069;0,705099356042098;0,940082446939262;0,241333511717484;0;41;0;0
"28.9";"Manufacture of Other Special-Purpose Machinery";1,03098113143591;1,09367084676623;0,614122183648797;0,904582546040567;0,120815543473857;41;43;0;0
"28.92";"Manufacture of Machinery for Mining, Quarrying and Construction";0,935348926613441;1,2614827081984;0,531020621170154;0,495425743059995;0;0;44;0;0
"28.94";"Manufacture of Machinery for Textile, Apparel and Leather Production";0,690104870765937;0,84988899999966;3,31221635624913;0,938978574818717;0;0;35;40;0
"28.95";"Manufacture of Machinery for Paper and Paperboard Production";1,27136718825683;1,83943111202951;1,83388680308993;0,403623591243967;0;47;41;40;0
"28.99";"Manufacture of Other Special-Purpose Machinery N.E.C.";1,29782557455234;2,03564502076588;0,69623443869807;0,630940225301576;0;39;41;0;0
"29.1";"Manufacture of Motor Vehicles";0,910827225363391;0,671701919277798;0,544476772236895;0,91784178868041;0,269695052068153;0;0;0;0
"29.3";"Manufacture of Parts and Accessories for Motor Vehicles";0,30302538758163;0;0,664070787918899;1,42463959386168;0;0;0;0;42
"30";"Manufacture of Other Transport Equipment";1,44499747041419;1,72352007884433;0,59021949922685;0,683119170160952;0;41;36;0;0
"31";"Manufacture of Furniture";1,90852147521644;0,853291081727056;0,2816395941223;0,377902708790802;0;40;0;0;0
"32";"Other Manufacturing";1,7339612601858;1,44851325183767;1,00414321966364;0,629886497996606;0;24;29;0;0
"32.5";"Manufacture of medical and dental instruments and supplies";2,08124480389356;1,2079510221485;0,381364860149674;0,628051664845262;0,418660623556482;41;41;0;0
"32.9";"Manufacturing N.E.C.";1,47215373000841;0,719705379838956;0,395913218451435;0,797213054529999;0,510213997399816;43;0;0;0
"42.2";"Construction of Utility Projects";1,06070811604611;1,89564312542031;0,789990483104674;0,581629443098492;0;44;40;0;0
"42.91";"Construction of Water Projects";0,801761625494135;1,27891116853784;1,11308972996923;0,957483979249923;0;0;37;0;0
"43";"Specialised Construction Activities";0,792880970765869;0,841822441054325;0,430553239675802;0,74228804380431;0;0;0;0;0
"62";"Computer Programming, Consultancy and Related Activities";0,588940268820329;0;0;1,41689970575787;50,5346393962332;0;0;0;41
